Function;IntraBucket;InterBucket;Frequency
"nsWindow::DispatchKeyEvent(unsigned int,unsigned short,nsTArray&lt;nsAlternativeCharCode&gt; const *,unsigned int,tagMSG const *,nsModifierKeyState const &amp;,unsigned int)";0;0;3
"nsBidiPresUtils::ProcessTextForRenderingContext(unsigned short const *,int,nsBidiDirection,nsPresContext *,nsIRenderingContext &amp;,nsBidiPresUtils::Mode,int,int,nsBidiPositionResolve *,int,int *)";0,00387;0;4
"js_GetClassPrototype(JSContext *,JSObject *,JSProtoKey,JSObject * *,js::Class *)";0,00064;0;1
"nsTimerEvent::Run()";0,00032;0,00873;101
"nsViewManager::Refresh(nsView *,nsIWidget *,nsIntRegion const &amp;,unsigned int)";0,00387;0,00393;18
"nsHTMLInputElement::PostHandleEvent(nsEventChainPostVisitor &amp;)";0,00451;0;1
"base::MessagePumpForIO::WaitForIOCompletion(unsigned long,base::MessagePumpForIO::IOHandler *)";0,00999;0;1
"nsThebesRenderingContext::DrawStringInternal(unsigned short const *,unsigned int,int,int,int,int const *)";0,00387;0;4
"nsWindow::DealWithPopups(HWND__ *,unsigned int,unsigned int,long,long *)";0,01933;0,00087;7
"nsIDOMCSSStyleDeclaration_GetPropertyValue";0,00032;0;1
"nsJSContext::EvaluateString(nsAString_internal const &amp;,void *,nsIPrincipal *,char const *,unsigned int,unsigned int,nsAString_internal *,int *)";0,00064;0;1
"CRpcThreadCache::RpcWorkerThreadEntry(void *)";0,02706;0,00026;3
"_cairo_array_num_elements";0;0;7
"nsThebesFontMetrics::DrawString(unsigned short const *,unsigned int,int,int,int,int const *,nsThebesRenderingContext *)";0,00387;0;4
"nsStyleContext::Destroy()";0,00032;0;1
"ZwRemoveIoCompletion";0,00451;0;1
"nsPluginHost::InstantiateEmbeddedPlugin(char const *,nsIURI *,nsIPluginInstanceOwner *)";0;0;32
"_PR_MD_WAIT_CV";0,23164;0,08179;56
"_callthreadstartex";0,23164;1;186
"NtUserGetDC";0,00838;0;2
"ThreadStartRoutine(THREAD *)";0,06282;0,00035;5
"WaitForSingleObjectEx";0,22423;0,08319;57
"base::MessagePumpForIO::DoRunLoop()";0,00999;0;1
"KiUserApcDispatcher";0,01997;0,00061;8
"DefinePropertyIfFound";0,0029;0;1
"nsThread::ThreadFunc(void *)";0,25934;0,81538;173
"nsIRenderingContextBidiProcessor::DrawText(int,int)";0,00387;0;4
"NtGetContextThread";0,00999;0;1
"SvSpontExecute";0,01418;0;1
"LdrpGetShimEngineInterface";0,01418;0;1
"GetAddrInfoW";0,00999;0;1
"nsBaseAppShell::OnProcessNextEvent(nsIThreadInternal *,int,unsigned int)";0,03351;0,0062;16
"nsCommandLine::Run()";0;0;45
"nsDisplayList::PaintForFrame(nsDisplayListBuilder *,nsIRenderingContext *,nsIFrame *,unsigned int)";0,00387;0,00393;18
"ZwWaitForSingleObject";0,19942;0,02208;29
"Sleep";0,02706;0,00026;3
"CROIDTable::WorkerThreadLoop(void *)";0,02706;0,00026;3
"GetProcessHeap";0,02416;0,00009;2
"nsStyleContext::Release()";0;0;2
"GetMessageA";0,01418;0;1
"nsHostResolver::ThreadFunc(void *)";0,07571;0,00358;11
"NtReplyWaitReceivePortEx";0,02416;0,00009;2
"PR_Wait";0,24195;0,04923;46
"nsWindow::OnKeyDown(tagMSG const &amp;,nsModifierKeyState &amp;,int *,nsFakeCharMessage *)";0;0;3
"GenAllocateModuleObject(_MINIDUMP_STATE *,_INTERNAL_PROCESS *,unsigned short *,unsigned __int64,unsigned long,_INTERNAL_MODULE * *)";0,0145;0,00009;2
"wmain";0,16302;0;22
"NdrClientCall2";0,00999;0;1
"dosprintf";0;0;45
"NtWaitForMultipleObjects";0,02416;0,00009;2
"WaitForSingleObjectExImplementation";0,16688;0,01231;22
"nsObjectFrame::InstantiatePlugin(nsIPluginHost *,char const *,nsIURI *)";0,02803;0;29
"JS_EvaluateUCScriptForPrincipals";0,00064;0;1
"nsComputedDOMStyle::GetPropertyCSSValue(nsAString_internal const &amp;,nsIDOMCSSValue * *)";0,00032;0;1
"NSPROVIDER::NSPLookupServiceNext(void *,unsigned long,unsigned long *,_WSAQuerySetW *)";0,00999;0;1
"JS_BeginRequest";0;0;10
"nsTextFrame::PaintText(nsIRenderingContext *,nsPoint,nsRect const &amp;)";0,00387;0;3
"Win32LiveSystemProvider::OpenMapping(unsigned short const *,unsigned long *,unsigned short *,unsigned long,void * *)";0,0145;0,00009;2
"_SEH_epilog4_GS";0,01418;0;1
"LogConsoleMessage";0;0;45
"nsAppShell::ProcessNextNativeEvent(int)";0,00451;0;1
"base::MessagePumpForIO::WaitForWork()";0,00999;0;1
"UserCallWinProcCheckWow";0,03544;0,00463;13
"HandleEvent";0,00387;0,00864;21
"BaseProcessStart";0,15915;0;19
"nsViewManager::RenderViews(nsView *,nsIWidget *,nsRegion const &amp;,nsIntRegion const &amp;,int,int)";0,00387;0,00393;18
"R_ResolverQuery";0,00999;0;1
"MessageLoop::RunHandler()";0,02159;0,00026;4
"getaddrinfo";0,00999;0;1
"js::Execute(JSContext *,JSObject *,JSScript *,JSStackFrame *,unsigned int,js::Value *)";0,00064;0;1
"nsJSEventListener::HandleEvent(nsIDOMEvent *)";0,00354;0,00009;2
"KiUserCallbackDispatcher";0,01546;0,00314;15
"nsThreadPool::Run()";0,24485;0,03745;41
"ZwReplyWaitReceivePortEx";0,04059;0;3
"PR_EnterMonitor";0,00032;0;1
"nsButtonFrameRenderer::GetButtonOuterFocusBorderAndPadding()";0,00032;0;1
"mozilla::ipc::MessagePump::Run(base::MessagePump::Delegate *)";0,0116;0;3
"SaBlob_Query";0,00999;0;1
"js::InvokeCommon&lt;int (__cdecl*)(JSContext *,JSObject *,unsigned int,js::Value *,js::Value *)&gt;";0,00354;0,00009;2
"mozilla::FrameLayerBuilder::DrawThebesLayer(mozilla::layers::ThebesLayer *,gfxContext *,nsIntRegion const &amp;,nsIntRegion const &amp;,void *)";0,00387;0,00393;18
"js_AtomizeString(JSContext *,JSString *,unsigned int)";0,00064;0;1
"nsWebShellWindow::HandleEvent(nsGUIEvent *)";0,0029;0;1
"CombinedQueryEx";0,00999;0;1
"arena_ralloc";0,01418;0;1
"EnumChildWindows";0,00644;0,00009;2
"js::Parser::statement()";0,00064;0;1
"KiFastSystemCallRet";0,11952;0,15573;77
"LRPC_CCALL::SendReceive(_RPC_MESSAGE *)";0,00999;0;1
"RpcpPurgeEEInfoFromThreadIfNecessary(THREAD *)";0,03769;0,00017;3
"JSAutoRequest::JSAutoRequest(JSContext *)";0,0029;0;9
"NtWaitForWorkViaWorkerFactory";0,03351;0,00017;3
"GCTimerFired(nsITimer *,void *)";0,00032;0;1
"nsTextFormatter::vsmprintf(unsigned short const *,char *)";0;0;45
"VerpCheckBlock32";0,01418;0;1
"PresShell::HandleEventInternal(nsEvent *,nsIView *,nsEventStatus *)";0;0;3
"DnsQueryExW";0,00999;0;1
"base::ThreadLocalPlatform::SetValueInSlot(int &amp;,void *)";0,02159;0,00026;4
"PR_GetAddrInfoByName";0,00999;0;1
"base::MessagePumpForIO::GetIOItem(unsigned long,base::MessagePumpForIO::IOItem *)";0,00999;0;1
"TppTimerpSet";0,01933;0;2
"_PR_NotifyJoinWaiters";0,01418;0;1
"nsXPConnect::GarbageCollect()";0,00032;0;1
"WaitForSingleObject";0,22938;0,08092;56
